"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"N-Acetylglutamine","N-Acetylglutamine","HMDB0006029","25561","73685","",NA,"CC(=O)NC(CCC(=O)N)C(=O)O","1"
"Coenzyme A","Coenzyme A","HMDB0001423","6816","1146900","C00010","6235","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O","1"
"Aminoadipic acid","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","C(CC(C(=O)O)N)CC(=O)O","1"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","C(=C/C(=O)O)\C(=O)O","1"
"NADH","NADH","HMDB0001487","928","16908","C00004","3687","C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@@H](C(=O)O)N","1"
"Glutathionylspermidine NPS","NA","NA","NA","NA","NA","NA","NA","0"
"dUMP","dUMP","HMDB0001409","65063","17622","C00365","6225","C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O","1"
"Uridine 5'-diphosphate","Uridine 5'-diphosphate","HMDB0000295","6031","17659","C00015",NA,"C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O","1"
"Dodecanoic acid","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
