"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Alanylglycine","Alanylglycine","HMDB0006899","79094","185249","",NA,"CC(C(=O)NCC(=O)O)N","1"
"2-Methylcitric acid","2-Methylcitric acid","HMDB0000379","515","30835","","5368","CC(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"4-Hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","C1[C@H](CN[C@@H]1C(=O)O)O","1"
"3,4-Dihydroxybenzeneacetic acid","3,4-Dihydroxybenzeneacetic acid","HMDB0001336","547","41941","C01161","6170","C1=CC(=C(C=C1CC(=O)O)O)O","1"
"Adenosine triphosphate","Adenosine triphosphate","HMDB0000538","5957","15422","C00002","5523","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O","1"
"3-Methyladenine","3-Methyladenine","HMDB0011600","1673","38635","C00913",NA,"CN1C=NC(=C2C1=NC=N2)N","1"
"Adenine","Adenine","HMDB0000034","190","16708","C00147","85","C1=NC2=C(N1)C(=NC=N2)N","1"
"ADP","ADP","HMDB0001341","6022","16761","C00008","6175","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O","1"
"cis-Aconitic acid","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","C(/C(=C/C(=O)O)/C(=O)O)C(=O)O","1"
"Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","C(C[C@@H](C(=O)O)N)CNC(=O)N","1"
"Coenzyme A","Coenzyme A","HMDB0001423","6816","1146900","C00010","6235","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O","1"
"Cytidine","Cytidine","HMDB0000089","6175","17562","C00475","3376","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"D-2-Hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB0000606","439391","32796","C01087","5581","C(CC(=O)O)[C@H](C(=O)O)O","1"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","16108","C00111","6262","C(C(=O)COP(=O)(O)O)O","1"
"D-Lactic acid","D-Lactic acid","HMDB0001311","61503","341","C00256","6150","C[C@H](C(=O)O)O","1"
"D-Maltose","D-Maltose","HMDB0000163","10991489","47937","C00208","413","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"D-Ribose 5-phosphate","D-Ribose 5-phosphate","HMDB0001548","439167","52742","C00117","6315","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)OP(=O)(O)O","1"
"Erythrose NPS","NA","NA","NA","NA","NA","NA","NA","0"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","C(=C/C(=O)O)\C(=O)O","1"
"Galactaric acid","Galactaric acid","HMDB0000639","3037582","30852","C00879","5612","[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O","1"
"Gluconic acid","Gluconic acid","HMDB0000625","10690","33198","C00257","345","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O","1"
"Glucosamine","Glucosamine","HMDB0001514","439213","5417","C00329","266","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O","1"
"Glycerol","Glycerol","HMDB0000131","753","17522","C00116","105","C(C(CO)O)O","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","71920","16870","C00670","370","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","C(C(=O)O)N","1"
"Glyoxylic acid","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","C(=O)C(=O)O","1"
"Guanine","Guanine","HMDB0000132","764","16235","C00242","315","C1=NC2=C(N1)C(=O)N=C(N2)N","1"
"Guanosine diphosphate mannose","Guanosine diphosphate mannose","HMDB0001163","18396","15820","C00096","6045","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)NC(=NC2=O)N","1"
"Inosine","Inosine","HMDB0000195","6021","17596","C00294","84","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"L-Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","C(C[C@@H](C(=O)O)N)CN=C(N)N","1"
"L-Glutamic acid","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","C(CC(=O)O)[C@@H](C(=O)O)N","1"
"L-Glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"L-Histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"L-Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@@H](C(=O)O)N","1"
